Bill Amount,Who Tipped,Tip Amount,Ethnicity,Day Dined,Meal Period,How Dined,Overall Satisfaction,Will Return,Would Recommend,Greeted Friendly,Meal Quality,Overall Service,"Music, Lighting, Temp.",Cleanliness,Food Delivery Speed,Bev. Service Speed,Offered Appetizer
$31.45,Me,$5.00,White,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$27.62,Me,$0.10,Hispanic,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$41.42,Me,$7.00,White,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$28.41,Me,$3.60,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$45.00,Me,$7.50,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$11.35,Me,$3.00,Hispanic,Tue,Lunch,Dine In,Good,Probably Will,Probably Would,Yes,Very Good,Good,Very Good,Very Good,Good,Good,Yes
$41.95,Me,$6.05,White,Sat,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Very Good,Excellent,Don't Remember
$42.60,Me,$0.06,Asian,Sun,Dinner,Dine In,Excellent,Definitely Will,Probably Would,Yes,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,No
$38.60,Me,$8.00,Hispanic,Sun,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Very Good,Very Good,Don't Remember
$48.64,Me,$6.00,White,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Good,Excellent,Very Good,Very Good,Very Good,No
$72.66,Me,$8.00,Black,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$55.41,Me,$8.00,Hispanic,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$11.42,Me,$4.00,Prefer not to answer,Mon,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Don't Remember
$23.00,Me,$3.50,White,Sat,Dinner,Dine In,Fair,Might or Might Not,Probably Would Not,Yes,Very Good,Good,Good,Good,Poor,Fair,No
$36.42,Me,$10.00,White,Mon,Dinner,Dine In,Very Good,Definitely Will,Probably Would,Yes,Very Good,Excellent,Very Good,Very Good,Excellent,Excellent,Yes
$24.06,Me,$4.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$45.93,Me,$0.08,White,Fri,Lunch,Dine In,Excellent,Probably Will,Probably Would,Yes,Excellent,Excellent,Good,Very Good,Excellent,Excellent,Don't Remember
$21.88,Me,$3.75,White,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$89.50,Me,$15.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$23.00,Me,$3.50,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$34.09,Me,$10.00,White,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$76.21,Me,$15.00,White,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Very Good,Very Good,Excellent,No
$84.12,Me,$10.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$119.22,Me,$25.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Don't Remember
$97.14,Me,$15.85,White,Sun,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Good,Very Good,Good,Very Good,Don't Remember
$43.87,Me,$7.00,White,Mon,Dinner,Dine In,Very Good,Probably Not,Probably Would,No,Very Good,Very Good,Good,Very Good,Good,Good,No
$31.63,Me,$7.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$39.65,Me,$8.00,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$37.51,Me,$3.00,Hispanic,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Very Good,Excellent,Yes
$13.05,Me,$5.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$47.17,Me,$10.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$32.06,Me,$6.94,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$17.04,Me,$6.00,White,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$25.04,Me,$3.00,Hispanic,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$26.53,Me,$6.00,White,Sat,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$34.49,Me,$5.03,White,Tue,Dinner,Dine In,Very Good,Definitely Will,Probably Would,Yes,Very Good,Very Good,Good,Very Good,Good,Very Good,No
$36.80,Me,$6.00,White,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$43.06,Me,$5.00,White,Fri,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$32.77,Me,$4.75,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$21.66,Me,$4.00,Black,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$32.00,Me,$7.00,White,Wed,Lunch,Dine In,Very Good,Might or Might Not,Might or Might Not,Yes,Fair,Very Good,Good,Very Good,Very Good,Very Good,No
$39.74,Me,$7.00,Hispanic,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$17.57,Me,$6.00,White,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$34.86,Me,$0.05,White,Mon,Dinner,Dine In,Excellent,Probably Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$33.16,Me,$7.00,Prefer not to answer,Wed,Lunch,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,No
$47.87,Me,$8.00,White,Wed,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Excellent,Very Good,Very Good,Excellent,Excellent,Don't Remember
$36.23,Me,$5.00,White,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Excellent,Excellent,Excellent,Excellent,No
$41.02,Me,$0.04,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$20.24,Me,$5.00,White,Tue,Dinner,Dine In,Good,Probably Will,Probably Would,Yes,Very Good,Good,Very Good,Excellent,Good,Very Good,No
$41.95,Me,$10.00,Hispanic,Sat,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$40.00,Me,$6.00,White,Wed,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Good,Good,Very Good,Very Good,Very Good,Good,Yes
$17.46,Me,$3.00,White,Mon,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$30.87,Me,$5.00,White,Sun,Dinner,Dine In,Good,Probably Will,Probably Would,Yes,Good,Poor - Poor,Good,Good,Good,Poor,No
$62.21,Me,$10.00,Prefer not to answer,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$20.00,Me,$5.00,White,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Yes
$46.84,Me,$0.05,White,Wed,Lunch,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Excellent,Very Good,Very Good,Good,Excellent,Yes
$30.00,Me,$5.00,Hispanic,Wed,Dinner,Dine In,Excellent,Probably Will,Probably Would,Yes,Excellent,Very Good,Very Good,Very Good,Good,Very Good,No
$28.61,Me,$6.00,White,Wed,Lunch,Dine In,Very Good,Probably Will,Probably Would,Yes,Excellent,Very Good,Very Good,Fair,Excellent,Good,No
$16.85,Me,$5.50,White,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$103.96,Me,$20.00,White,Sat,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$8.47,Me,$1.60,White,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$15.44,Me,$3.00,White,Thu,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$32.22,Me,$4.00,Hispanic,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Yes
$35.41,Me,$7.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$43.37,Me,$0.05,Other,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Excellent,Excellent,Excellent,Excellent,No
$52.60,Me,$8.00,White,Wed,Dinner,Dine In,Poor,Definitely Not,Definitely Would Not,Yes,Poor,Good,Good,Very Good,Very Good,Very Good,Yes
$21.16,Me,$5.00,White,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$25.44,Me,$5.00,White,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$16.73,Me,$4.00,White,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Very Good,Excellent,No
$59.83,Me,$10.00,Asian,Thu,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,No
$33.94,Me,$5.00,Hispanic,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$88.15,Me,$14.00,Asian,Wed,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Yes
$44.79,Me,$7.00,White,Fri,Lunch,Dine In,Good,Probably Will,Probably Would,Yes,Good,Very Good,Very Good,Very Good,Very Good,Excellent,No
$14.83,Me,$3.00,White,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$65.00,Me,$0.15,White,Tue,Dinner,Dine In,Very Good,Definitely Will,Probably Would,Yes,Very Good,Excellent,Very Good,Good,Good,Excellent,Yes
$38.62,Me,$5.75,Prefer not to answer,Fri,Dinner,Dine In,Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Very Good,Very Good,Good,Very Good,Don't Remember
$33.15,Me,$6.00,White,Fri,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,No
$19.75,Me,$1.25,White,Fri,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Good,Very Good,Very Good,Excellent,No
$59.19,Me,$0.09,White,Fri,Dinner,Dine In,Excellent,Probably Will,Probably Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$44.75,Me,$8.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$43.13,Me,$5.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Probably Would,Yes,Excellent,Excellent,Good,Very Good,Excellent,Excellent,Yes
$38.45,Me,$7.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Don't Remember
$21.00,Me,$4.00,White,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Don't Remember
$23.06,Me,$4.00,White,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Don't Remember
$43.77,Me,$0.06,Hispanic,Sat,Lunch,Dine In,Very Good,Probably Will,Probably Would,No,Very Good,Excellent,Very Good,Very Good,Excellent,Very Good,Don't Remember
$35.45,Me,$5.00,Hispanic,Sun,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Excellent,Excellent,Very Good,Very Good,No
$22.86,Me,$4.00,White,Fri,Dinner,Dine In,Very Good,Might or Might Not,Probably Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Yes
$8.77,Me,$4.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$60.12,Me,$10.00,Hispanic,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Very Good,Very Good,No
$17.25,Me,$3.00,White,Fri,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$100.00,Me,$22.00,Hispanic,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$30.00,Me,$5.00,White,Sat,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$30.70,Me,$6.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$31.66,Me,$7.50,Prefer not to answer,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Yes
$41.92,Me,$12.00,White,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Don't Remember
$26.18,Me,$5.00,White,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$62.98,Me,$7.02,White,Sat,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Good,Very Good,Very Good,Fair,Very Good,No
$44.05,Me,$10.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$25.14,Me,$0.05,White,Thu,Dinner,Dine In,Very Good,Might or Might Not,Probably Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$42.00,Me,$7.50,White,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Don't Remember
$53.36,Me,$12.00,White,Sat,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$40.88,Me,$6.00,Hispanic,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$32.15,Me,$6.00,White,Fri,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Good,Very Good,Good,Good,No
$24.44,Me,$0.04,White,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$43.51,Me,$10.00,White,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$18.34,Me,$3.66,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Very Good,Excellent,Excellent,No
$51.82,Me,$9.18,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$52.44,Me,$5.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Yes
$26.27,Me,$5.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,No
$26.54,Me,$9.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$49.78,Me,$0.08,Hispanic,Sat,Dinner,Dine In,Good,Probably Will,Probably Would,Yes,Excellent,Fair,Excellent,Excellent,Fair,Good,No
$25.25,Me,$5.00,White,Sat,Lunch,Dine In,Very Good,Definitely Will,Probably Would,Yes,Excellent,Excellent,Very Good,Excellent,Very Good,Excellent,Don't Remember
$52.38,Me,$7.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$64.83,Me,$8.17,White,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Very Good,Very Good,No
$38.38,Me,$8.00,Hispanic,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$43.83,Me,$10.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$34.00,Me,$6.00,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Very Good,Excellent,Excellent,Yes
$186.15,Me,$40.00,Asian,Sat,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Excellent,No
$41.33,Me,$3.00,Asian,Mon,Dinner,Dine In,Good,Probably Will,Might or Might Not,Yes,Excellent,Poor - Poor,Excellent,Good,Excellent,Excellent,No
$35.10,Me,$5.00,White,Sun,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Excellent,Good,Excellent,No
$27.27,Me,$5.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Excellent,Very Good,Excellent,Excellent,No
$25.04,Me,$3.00,Hispanic,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$93.63,Me,$15.80,Hispanic,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$27.41,Me,$5.00,White,Mon,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,No
$42.22,Me,$8.00,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Excellent,Excellent,Very Good,Excellent,Yes
$93.60,Me,$0.15,Asian,Sun,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Excellent,Excellent,Excellent,Very Good,No
$27.96,Me,$3.75,White,Mon,Lunch,Dine In,Very Good,Might or Might Not,Might or Might Not,Yes,Very Good,Very Good,Excellent,Excellent,Good,Very Good,No
$27.31,Me,$5.00,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$57.74,Me,$10.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$44.77,Me,$7.00,White,Mon,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$42.12,Me,$6.00,Asian,Sat,Dinner,Dine In,Very Good,Definitely Will,Probably Would,Yes,Very Good,Good,Very Good,Very Good,Good,Very Good,No
$50.72,Me,$0.11,White,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$24.99,Me,$4.69,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Good,Good,Excellent,Excellent,Yes
$70.59,Me,$10.00,White,Fri,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Fair,Very Good,Excellent,Excellent,No
$104.32,Me,$20.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$31.97,Me,$6.00,White,Sat,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Yes
$59.40,Me,$9.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Excellent,Very Good,Excellent,Excellent,Yes
$28.30,Me,$5.00,Hispanic,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,No
$22.00,Me,$3.00,White,Mon,Lunch,Dine In,Excellent,Definitely Will,Probably Would,Yes,Excellent,Excellent,Very Good,Excellent,Very Good,Excellent,No
$13.00,Me,$2.34,White,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$31.66,Me,$10.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$33.63,Me,$5.00,White,Sun,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Very Good,Very Good,Very Good,No
$47.04,Me,$10.00,Prefer not to answer,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
"$1,002.00",Me,$0.10,Hispanic,Tue,Lunch,Dine In,Excellent,Definitely Will,Probably Would,Yes,Excellent,Very Good,Excellent,Excellent,Very Good,Excellent,Yes
$62.94,Me,$10.00,White,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Very Good,Excellent,Yes
$54.63,Me,$10.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Probably Would,Yes,Excellent,Excellent,Good,Good,Very Good,Excellent,No
$53.79,Me,$11.00,Black,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Very Good,Very Good,No
$31.22,Me,$30.22,White,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$34.78,Me,$7.22,Prefer not to answer,Sat,Dinner,Dine In,Very Good,Probably Will,Definitely Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,No
$71.89,Me,$10.11,Prefer not to answer,Tue,Dinner,Dine In,Excellent,Probably Will,Probably Would,Yes,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,No
$66.43,Me,$7.50,White,Fri,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,No,Excellent,Very Good,Very Good,Excellent,Excellent,Excellent,No
$32.45,Me,$5.00,White,Sat,Dinner,Dine In,Good,Probably Not,Might or Might Not,Yes,Fair,Very Good,Excellent,Excellent,Fair,Very Good,No
$97.51,Me,$12.49,White,Sat,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Excellent,Good,Very Good,Very Good,Good,No
$15.11,Me,$3.00,White,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$30.23,Me,$5.00,White,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Very Good,Excellent,Excellent,Don't Remember
$13.20,Me,$3.00,White,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$35.28,Me,$6.00,Hispanic,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$30.47,Me,$4.00,Other,Tue,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Excellent,Excellent,Very Good,Very Good,No
$19.37,Me,$4.00,White,Tue,Dinner,Dine In,Very Good,Definitely Will,Probably Would,Yes,Very Good,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$27.97,Me,$5.00,White,Sat,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Don't Remember
$25.88,Me,$5.00,White,Wed,Dinner,Dine In,Excellent,Probably Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Don't Remember
